Timestamp	Inoculation Time []	pH1.PV [pH]	DO1.PV [%DO]	XCO2 1.Out [%]
2015-03-31 20:39:04	0:00:06	6.964	100.477	0.03
2015-03-31 20:39:34	0:00:36	6.964	100.477	0.03
2015-03-31 20:40:04	0:01:06	6.964	100.477	0.03
2015-03-31 20:40:34	0:01:36	6.964	99.948	0.03
2015-03-31 20:41:04	0:02:06	6.964	99.948	0.03
2015-03-31 20:41:34	0:02:36	6.964	99.948	0.03
2015-03-31 20:42:04	0:03:06	6.964	99.948	0.03
2015-03-31 20:42:34	0:03:36	6.964	99.948	0.03
2015-03-31 20:43:04	0:04:06	6.964	99.948	0.03
2015-03-31 20:43:34	0:04:36	6.964	99.948	0.03
2015-03-31 20:44:04	0:05:06	6.964	99.948	0.03
2015-03-31 20:44:34	0:05:36	6.964	99.948	0.03
2015-03-31 20:45:04	0:06:06	6.964	99.948	0.03
2015-03-31 20:45:34	0:06:36	6.964	99.948	0.03
2015-03-31 20:46:04	0:07:06	6.964	99.948	0.03
2015-03-31 20:46:34	0:07:36	6.964	99.948	0.03
2015-03-31 20:47:04	0:08:06	6.964	99.948	0.03
2015-03-31 20:47:34	0:08:36	6.964	99.948	0.03
2015-03-31 20:48:04	0:09:06	6.964	99.948	0.03
2015-03-31 20:48:34	0:09:36	6.964	99.948	0.03
2015-03-31 20:49:04	0:10:06	6.964	99.948	0.03
2015-03-31 20:49:34	0:10:36	6.964	99.948	0.03
2015-03-31 20:50:04	0:11:06	6.964	99.948	0.03
2015-03-31 20:50:34	0:11:36	6.964	99.948	0.03
2015-03-31 20:51:04	0:12:06	6.964	99.948	0.03
2015-03-31 20:51:34	0:12:36	6.964	99.948	0.03
2015-03-31 20:52:04	0:13:06	6.964	99.948	0.03
2015-03-31 20:52:34	0:13:36	6.964	99.948	0.03
2015-03-31 20:53:04	0:14:06	6.964	99.948	0.03
2015-03-31 20:53:34	0:14:36	6.964	99.948	0.03
2015-03-31 20:54:04	0:15:06	6.964	99.948	0.03
2015-03-31 20:54:34	0:15:36	6.964	99.948	0.03
2015-03-31 20:55:04	0:16:06	6.964	99.948	0.03
2015-03-31 20:55:34	0:16:36	6.964	99.948	0.03
2015-03-31 20:56:04	0:17:06	6.964	99.948	0.03
2015-03-31 20:56:34	0:17:36	6.964	99.948	0.03
2015-03-31 20:57:04	0:18:06	6.964	99.948	0.03
2015-03-31 20:57:34	0:18:36	6.964	99.948	0.03
2015-03-31 20:58:04	0:19:06	6.964	99.948	0.03
2015-03-31 20:58:34	0:19:36	6.964	99.948	0.03
2015-03-31 20:59:04	0:20:06	6.964	99.948	0.03
2015-03-31 20:59:34	0:20:36	6.964	99.948	0.03
2015-03-31 21:00:04	0:21:06	6.964	99.948	0.03
2015-03-31 21:00:34	0:21:36	6.964	99.948	0.03
2015-03-31 21:01:04	0:22:06	6.964	99.948	0.03
2015-03-31 21:01:34	0:22:36	6.964	99.948	0.03
2015-03-31 21:02:04	0:23:06	6.964	99.948	0.03
2015-03-31 21:02:34	0:23:36	6.964	99.948	0.03
2015-03-31 21:03:04	0:24:06	6.964	99.948	0.03
2015-03-31 21:03:34	0:24:36	6.964	99.948	0.03
2015-03-31 21:04:04	0:25:06	6.964	99.948	0.03
2015-03-31 21:04:34	0:25:36	6.964	99.948	0.03
2015-03-31 21:05:04	0:26:06	6.964	99.948	0.03
2015-03-31 21:05:34	0:26:36	6.964	99.948	0.03
2015-03-31 21:06:04	0:27:06	6.964	99.948	0.03
2015-03-31 21:06:34	0:27:36	6.964	99.948	0.03
2015-03-31 21:07:04	0:28:06	6.964	99.948	0.03
2015-03-31 21:07:34	0:28:36	6.976	99.913	0.04
2015-03-31 21:08:04	0:29:06	6.976	99.913	0.04
2015-03-31 21:08:34	0:29:36	6.976	99.913	0.04
2015-03-31 21:09:04	0:30:06	6.976	99.913	0.04
2015-03-31 21:09:34	0:30:36	6.976	99.913	0.04
2015-03-31 21:10:04	0:31:06	6.976	99.913	0.04
2015-03-31 21:10:34	0:31:36	6.976	99.913	0.04
2015-03-31 21:11:04	0:32:06	6.976	99.913	0.04
2015-03-31 21:11:34	0:32:36	6.976	99.913	0.04
2015-03-31 21:12:04	0:33:06	6.976	99.913	0.04
2015-03-31 21:12:34	0:33:36	6.976	99.913	0.04
2015-03-31 21:13:04	0:34:06	6.976	99.913	0.04
2015-03-31 21:13:34	0:34:36	6.976	99.913	0.04
2015-03-31 21:14:04	0:35:06	6.976	99.913	0.04
2015-03-31 21:14:34	0:35:36	6.976	99.913	0.04
2015-03-31 21:15:04	0:36:06	6.976	99.913	0.04
2015-03-31 21:15:34	0:36:36	6.976	99.913	0.04
2015-03-31 21:16:04	0:37:06	6.976	99.913	0.04
2015-03-31 21:16:34	0:37:36	6.976	99.913	0.04
2015-03-31 21:17:04	0:38:06	6.976	99.913	0.04
2015-03-31 21:17:34	0:38:36	6.976	99.913	0.04
2015-03-31 21:18:04	0:39:06	6.976	99.913	0.04
2015-03-31 21:18:34	0:39:36	6.976	99.913	0.04
2015-03-31 21:19:04	0:40:06	6.976	99.913	0.04
2015-03-31 21:19:34	0:40:36	6.976	99.913	0.04
2015-03-31 21:20:04	0:41:06	6.976	99.913	0.04
2015-03-31 21:20:34	0:41:36	6.976	99.913	0.04
2015-03-31 21:21:04	0:42:06	6.976	99.913	0.04
2015-03-31 21:21:34	0:42:36	6.976	99.913	0.04
2015-03-31 21:22:04	0:43:06	6.976	99.913	0.04
2015-03-31 21:22:34	0:43:36	6.976	99.913	0.04
2015-03-31 21:23:04	0:44:06	6.976	99.913	0.04
2015-03-31 21:23:34	0:44:36	6.976	99.913	0.04
2015-03-31 21:24:04	0:45:06	6.976	99.913	0.04
2015-03-31 21:24:34	0:45:36	6.976	99.913	0.04
2015-03-31 21:25:04	0:46:06	6.976	99.913	0.04
2015-03-31 21:25:34	0:46:36	6.976	99.913	0.04
2015-03-31 21:26:04	0:47:06	6.976	99.913	0.04
2015-03-31 21:26:34	0:47:36	6.976	99.913	0.04
2015-03-31 21:27:04	0:48:06	6.976	99.913	0.04
2015-03-31 21:27:34	0:48:36	6.976	99.913	0.04
2015-03-31 21:28:04	0:49:06	6.976	99.913	0.04
2015-03-31 21:28:34	0:49:36	6.976	99.913	0.04
2015-03-31 21:29:04	0:50:06	6.976	99.913	0.04
2015-03-31 21:29:34	0:50:36	6.976	99.913	0.04
2015-03-31 21:30:04	0:51:06	6.976	99.913	0.04
2015-03-31 21:30:34	0:51:36	6.976	99.913	0.04
2015-03-31 21:31:04	0:52:06	6.976	99.913	0.04
2015-03-31 21:31:34	0:52:36	6.976	99.913	0.04
2015-03-31 21:32:04	0:53:06	6.976	99.913	0.04
2015-03-31 21:32:34	0:53:36	6.976	99.913	0.04
2015-03-31 21:33:04	0:54:06	6.976	99.913	0.04
2015-03-31 21:33:34	0:54:36	6.976	99.913	0.04
2015-03-31 21:34:04	0:55:06	6.976	99.913	0.04
2015-03-31 21:34:34	0:55:36	6.976	99.913	0.04
2015-03-31 21:35:04	0:56:06	6.976	99.913	0.04
2015-03-31 21:35:34	0:56:36	6.976	99.913	0.04
2015-03-31 21:36:04	0:57:06	6.976	99.913	0.04
2015-03-31 21:36:34	0:57:36	6.976	99.913	0.04
2015-03-31 21:37:04	0:58:06	6.976	99.913	0.04
2015-03-31 21:37:34	0:58:36	6.988	99.490	0.04
2015-03-31 21:38:04	0:59:06	6.988	99.490	0.04
2015-03-31 21:38:34	0:59:36	6.988	99.490	0.04
2015-03-31 21:39:04	1:00:06	6.988	99.490	0.04
2015-03-31 21:39:34	1:00:36	6.988	99.490	0.04
2015-03-31 21:40:04	1:01:06	6.988	99.490	0.04
