Timestamp	Inoculation Time []	pH5.PV [pH]	DO5.PV [%DO]	XCO2 5.Out [%]
2015-03-31 20:39:13	0:00:16	6.955	98.239	0.04
2015-03-31 20:39:43	0:00:45	6.955	98.239	0.04
2015-03-31 20:40:13	0:01:15	6.955	98.239	0.04
2015-03-31 20:40:43	0:01:45	6.955	98.239	0.04
2015-03-31 20:41:13	0:02:16	6.955	98.239	0.04
2015-03-31 20:41:43	0:02:45	6.955	98.239	0.04
2015-03-31 20:42:13	0:03:16	6.955	98.239	0.04
2015-03-31 20:42:43	0:03:45	6.955	98.239	0.04
2015-03-31 20:43:13	0:04:16	6.955	98.239	0.04
2015-03-31 20:43:43	0:04:46	6.955	98.239	0.04
2015-03-31 20:44:13	0:05:16	6.955	98.239	0.04
2015-03-31 20:44:43	0:05:46	6.955	98.239	0.04
2015-03-31 20:45:13	0:06:15	6.955	98.239	0.04
2015-03-31 20:45:43	0:06:45	6.955	98.239	0.04
2015-03-31 20:46:13	0:07:15	6.955	98.239	0.04
2015-03-31 20:46:43	0:07:46	6.955	98.239	0.04
2015-03-31 20:47:13	0:08:16	6.955	98.239	0.04
2015-03-31 20:47:43	0:08:45	6.955	98.239	0.04
2015-03-31 20:48:13	0:09:16	6.955	98.239	0.04
2015-03-31 20:48:43	0:09:45	6.955	98.239	0.04
2015-03-31 20:49:13	0:10:16	6.955	98.239	0.04
2015-03-31 20:49:43	0:10:46	6.955	98.239	0.04
2015-03-31 20:50:13	0:11:15	6.955	98.239	0.04
2015-03-31 20:50:43	0:11:45	6.955	98.239	0.04
2015-03-31 20:51:13	0:12:15	6.955	98.239	0.04
2015-03-31 20:51:43	0:12:45	6.955	98.239	0.04
2015-03-31 20:52:13	0:13:16	6.955	98.239	0.04
2015-03-31 20:52:43	0:13:45	6.955	98.239	0.04
2015-03-31 20:53:13	0:14:16	6.955	98.239	0.04
2015-03-31 20:53:43	0:14:46	6.955	98.239	0.04
2015-03-31 20:54:13	0:15:16	6.955	98.239	0.04
2015-03-31 20:54:43	0:15:45	6.955	98.239	0.04
2015-03-31 20:55:13	0:16:16	6.955	98.239	0.04
2015-03-31 20:55:43	0:16:45	6.955	98.239	0.04
2015-03-31 20:56:13	0:17:16	6.955	98.239	0.04
2015-03-31 20:56:43	0:17:45	6.955	98.239	0.04
2015-03-31 20:57:13	0:18:15	6.955	98.239	0.04
2015-03-31 20:57:43	0:18:46	6.955	98.239	0.04
2015-03-31 20:58:13	0:19:16	6.955	98.239	0.04
2015-03-31 20:58:43	0:19:45	6.955	98.239	0.04
2015-03-31 20:59:13	0:20:15	6.955	98.239	0.04
2015-03-31 20:59:43	0:20:45	6.955	98.239	0.04
2015-03-31 21:00:13	0:21:15	6.955	98.239	0.04
2015-03-31 21:00:43	0:21:45	6.955	98.239	0.04
2015-03-31 21:01:13	0:22:15	6.955	98.239	0.04
2015-03-31 21:01:43	0:22:46	6.955	97.902	0.04
2015-03-31 21:02:13	0:23:15	6.955	97.902	0.04
2015-03-31 21:02:43	0:23:45	6.955	97.902	0.04
2015-03-31 21:03:13	0:24:15	6.955	97.902	0.04
2015-03-31 21:03:43	0:24:46	6.955	97.902	0.04
2015-03-31 21:04:13	0:25:16	6.955	97.902	0.04
2015-03-31 21:04:43	0:25:45	6.955	97.902	0.04
2015-03-31 21:05:13	0:26:15	6.955	97.902	0.04
2015-03-31 21:05:43	0:26:46	6.955	97.902	0.04
2015-03-31 21:06:13	0:27:16	6.955	97.902	0.04
2015-03-31 21:06:43	0:27:46	6.955	97.902	0.04
2015-03-31 21:07:13	0:28:16	6.955	97.902	0.04
2015-03-31 21:07:43	0:28:45	6.955	97.902	0.04
2015-03-31 21:08:13	0:29:15	6.972	97.654	0.04
2015-03-31 21:08:43	0:29:45	6.972	97.654	0.04
2015-03-31 21:09:13	0:30:16	6.972	97.654	0.04
2015-03-31 21:09:43	0:30:45	6.972	97.654	0.04
2015-03-31 21:10:13	0:31:15	6.972	97.654	0.04
2015-03-31 21:10:43	0:31:46	6.972	97.654	0.04
2015-03-31 21:11:13	0:32:15	6.972	97.654	0.04
2015-03-31 21:11:43	0:32:46	6.972	97.654	0.04
2015-03-31 21:12:13	0:33:16	6.972	97.654	0.04
2015-03-31 21:12:43	0:33:46	6.972	97.654	0.04
2015-03-31 21:13:13	0:34:15	6.972	97.654	0.04
2015-03-31 21:13:43	0:34:45	6.972	97.654	0.04
2015-03-31 21:14:13	0:35:16	6.972	97.654	0.04
2015-03-31 21:14:43	0:35:46	6.972	97.654	0.04
2015-03-31 21:15:13	0:36:16	6.972	97.654	0.04
2015-03-31 21:15:43	0:36:46	6.972	97.654	0.04
2015-03-31 21:16:13	0:37:15	6.972	97.654	0.04
2015-03-31 21:16:43	0:37:46	6.972	97.654	0.04
2015-03-31 21:17:13	0:38:15	6.972	97.654	0.04
2015-03-31 21:17:43	0:38:45	6.972	97.654	0.04
2015-03-31 21:18:13	0:39:15	6.972	97.654	0.04
2015-03-31 21:18:43	0:39:45	6.972	97.654	0.04
2015-03-31 21:19:13	0:40:15	6.972	97.654	0.04
2015-03-31 21:19:43	0:40:45	6.972	97.654	0.04
2015-03-31 21:20:13	0:41:16	6.972	97.654	0.04
2015-03-31 21:20:43	0:41:46	6.972	97.654	0.04
2015-03-31 21:21:13	0:42:15	6.972	97.654	0.04
2015-03-31 21:21:43	0:42:45	6.972	97.654	0.04
2015-03-31 21:22:13	0:43:16	6.972	97.654	0.04
2015-03-31 21:22:43	0:43:46	6.972	97.654	0.04
2015-03-31 21:23:13	0:44:15	6.972	97.654	0.04
2015-03-31 21:23:43	0:44:45	6.972	97.654	0.04
2015-03-31 21:24:13	0:45:16	6.972	97.654	0.04
2015-03-31 21:24:43	0:45:46	6.972	97.654	0.04
2015-03-31 21:25:13	0:46:16	6.972	97.654	0.04
2015-03-31 21:25:43	0:46:46	6.972	97.654	0.04
2015-03-31 21:26:13	0:47:16	6.972	97.654	0.04
2015-03-31 21:26:43	0:47:45	6.972	97.654	0.04
2015-03-31 21:27:13	0:48:15	6.972	97.654	0.04
2015-03-31 21:27:43	0:48:46	6.972	97.654	0.04
2015-03-31 21:28:13	0:49:16	6.972	97.654	0.04
2015-03-31 21:28:43	0:49:46	6.972	97.654	0.04
2015-03-31 21:29:13	0:50:16	6.972	97.654	0.04
2015-03-31 21:29:43	0:50:46	6.972	97.654	0.04
2015-03-31 21:30:13	0:51:16	6.972	97.654	0.04
2015-03-31 21:30:43	0:51:46	6.972	97.654	0.04
2015-03-31 21:31:13	0:52:16	6.972	97.654	0.04
2015-03-31 21:31:43	0:52:46	6.972	97.654	0.04
2015-03-31 21:32:13	0:53:16	6.972	97.654	0.04
2015-03-31 21:32:43	0:53:46	6.972	97.654	0.04
2015-03-31 21:33:13	0:54:15	6.972	97.654	0.04
2015-03-31 21:33:43	0:54:46	6.972	97.654	0.04
2015-03-31 21:34:13	0:55:16	6.972	97.654	0.04
2015-03-31 21:34:43	0:55:46	6.972	97.654	0.04
2015-03-31 21:35:13	0:56:15	6.972	97.654	0.04
2015-03-31 21:35:43	0:56:46	6.972	97.654	0.04
2015-03-31 21:36:13	0:57:16	6.972	97.654	0.04
2015-03-31 21:36:43	0:57:46	6.972	97.654	0.04
2015-03-31 21:37:13	0:58:16	6.972	97.654	0.04
2015-03-31 21:37:43	0:58:46	6.972	97.654	0.04
