Timestamp	Inoculation Time []	pH6.PV [pH]	DO6.PV [%DO]	XCO2 6.Out [%]
2015-03-31 20:39:25	0:00:27	6.933	99.074	0.03
2015-03-31 20:39:55	0:00:57	6.933	99.074	0.03
2015-03-31 20:40:25	0:01:28	6.933	99.074	0.03
2015-03-31 20:40:55	0:01:57	6.933	99.074	0.03
2015-03-31 20:41:25	0:02:28	6.933	98.100	0.03
2015-03-31 20:41:55	0:02:58	6.933	98.100	0.03
2015-03-31 20:42:25	0:03:28	6.933	98.100	0.03
2015-03-31 20:42:55	0:03:57	6.933	98.100	0.03
2015-03-31 20:43:25	0:04:28	6.933	98.100	0.03
2015-03-31 20:43:55	0:04:57	6.933	98.100	0.03
2015-03-31 20:44:25	0:05:27	6.933	98.100	0.03
2015-03-31 20:44:55	0:05:57	6.933	98.100	0.03
2015-03-31 20:45:25	0:06:28	6.933	98.100	0.03
2015-03-31 20:45:55	0:06:57	6.933	98.100	0.03
2015-03-31 20:46:25	0:07:28	6.933	98.100	0.03
2015-03-31 20:46:55	0:07:57	6.933	98.100	0.03
2015-03-31 20:47:25	0:08:28	6.933	98.100	0.03
2015-03-31 20:47:55	0:08:58	6.933	98.100	0.03
2015-03-31 20:48:25	0:09:27	6.933	98.100	0.03
2015-03-31 20:48:55	0:09:57	6.933	98.100	0.03
2015-03-31 20:49:25	0:10:27	6.933	98.100	0.03
2015-03-31 20:49:55	0:10:57	6.933	98.100	0.03
2015-03-31 20:50:25	0:11:27	6.933	98.100	0.03
2015-03-31 20:50:55	0:11:57	6.933	98.100	0.03
2015-03-31 20:51:25	0:12:27	6.933	98.100	0.03
2015-03-31 20:51:55	0:12:57	6.933	98.100	0.03
2015-03-31 20:52:25	0:13:27	6.933	98.100	0.03
2015-03-31 20:52:55	0:13:57	6.933	98.100	0.03
2015-03-31 20:53:25	0:14:28	6.933	98.100	0.03
2015-03-31 20:53:55	0:14:57	6.933	98.100	0.03
2015-03-31 20:54:25	0:15:27	6.933	98.100	0.03
2015-03-31 20:54:55	0:15:57	6.933	98.100	0.03
2015-03-31 20:55:25	0:16:27	6.933	98.100	0.03
2015-03-31 20:55:55	0:16:57	6.933	98.100	0.03
2015-03-31 20:56:25	0:17:27	6.933	98.100	0.03
2015-03-31 20:56:55	0:17:57	6.933	98.100	0.03
2015-03-31 20:57:25	0:18:27	6.933	98.100	0.03
2015-03-31 20:57:55	0:18:57	6.933	98.100	0.03
2015-03-31 20:58:25	0:19:27	6.933	98.100	0.03
2015-03-31 20:58:55	0:19:57	6.933	98.100	0.03
2015-03-31 20:59:25	0:20:28	6.933	98.100	0.03
2015-03-31 20:59:55	0:20:57	6.933	98.100	0.03
2015-03-31 21:00:25	0:21:28	6.933	98.100	0.03
2015-03-31 21:00:55	0:21:57	6.933	97.464	0.03
2015-03-31 21:01:25	0:22:27	6.933	97.464	0.03
2015-03-31 21:01:55	0:22:57	6.933	97.464	0.03
2015-03-31 21:02:25	0:23:27	6.933	97.464	0.03
2015-03-31 21:02:55	0:23:57	6.933	97.464	0.03
2015-03-31 21:03:25	0:24:27	6.933	97.464	0.03
2015-03-31 21:03:55	0:24:57	6.933	97.464	0.03
2015-03-31 21:04:25	0:25:27	6.933	97.464	0.03
2015-03-31 21:04:55	0:25:57	6.933	97.464	0.03
2015-03-31 21:05:25	0:26:27	6.933	97.464	0.03
2015-03-31 21:05:55	0:26:57	6.866	97.464	0.03
2015-03-31 21:06:25	0:27:27	6.866	97.464	0.03
2015-03-31 21:06:55	0:27:58	6.824	97.464	0.03
2015-03-31 21:07:25	0:28:27	6.824	97.464	0.03
2015-03-31 21:07:55	0:28:57	6.824	97.464	0.03
2015-03-31 21:08:25	0:29:27	6.801	97.378	0.04
2015-03-31 21:08:55	0:29:58	6.801	97.378	0.04
2015-03-31 21:09:25	0:30:28	6.801	97.378	0.04
2015-03-31 21:09:55	0:30:57	6.801	97.378	0.04
2015-03-31 21:10:25	0:31:27	6.801	97.378	0.04
2015-03-31 21:10:55	0:31:57	6.808	97.378	0.04
2015-03-31 21:11:25	0:32:27	7.028	97.378	0.04
2015-03-31 21:11:55	0:32:57	7.081	97.378	0.04
2015-03-31 21:12:25	0:33:28	7.081	97.378	0.04
2015-03-31 21:12:55	0:33:57	7.081	97.378	0.04
2015-03-31 21:13:25	0:34:27	7.102	97.378	0.04
2015-03-31 21:13:55	0:34:57	7.102	97.378	0.04
2015-03-31 21:14:25	0:35:28	7.102	97.378	0.04
