Timestamp	Inoculation Time []	pH2.PV [pH]	DO2.PV [%DO]	XCO2 2.Out [%]
2015-03-31 20:39:12	0:00:14	6.961	99.955	0.03
2015-03-31 20:39:42	0:00:44	6.961	99.955	0.03
2015-03-31 20:40:12	0:01:14	6.961	99.955	0.03
2015-03-31 20:40:42	0:01:45	6.961	99.955	0.03
2015-03-31 20:41:12	0:02:15	6.961	99.955	0.03
2015-03-31 20:41:42	0:02:44	6.961	99.955	0.03
2015-03-31 20:42:12	0:03:15	6.961	99.955	0.03
2015-03-31 20:42:42	0:03:45	6.961	99.955	0.03
2015-03-31 20:43:12	0:04:14	6.961	99.955	0.03
2015-03-31 20:43:42	0:04:45	6.961	99.955	0.03
2015-03-31 20:44:12	0:05:15	6.961	99.955	0.03
2015-03-31 20:44:42	0:05:44	6.961	99.955	0.03
2015-03-31 20:45:12	0:06:15	6.961	99.955	0.03
2015-03-31 20:45:42	0:06:44	6.961	99.955	0.03
2015-03-31 20:46:12	0:07:14	6.961	99.571	0.03
2015-03-31 20:46:42	0:07:44	6.961	99.571	0.03
2015-03-31 20:47:12	0:08:14	6.961	99.571	0.03
2015-03-31 20:47:42	0:08:44	6.961	99.571	0.03
2015-03-31 20:48:12	0:09:14	6.961	99.571	0.03
2015-03-31 20:48:42	0:09:44	6.961	99.571	0.03
2015-03-31 20:49:12	0:10:14	6.961	99.571	0.03
2015-03-31 20:49:42	0:10:45	6.961	99.571	0.03
2015-03-31 20:50:12	0:11:15	6.961	99.571	0.03
2015-03-31 20:50:42	0:11:45	6.961	99.571	0.03
2015-03-31 20:51:12	0:12:14	6.961	99.571	0.03
2015-03-31 20:51:42	0:12:44	6.961	99.571	0.03
2015-03-31 20:52:12	0:13:15	6.961	99.571	0.03
2015-03-31 20:52:42	0:13:45	6.961	99.571	0.03
2015-03-31 20:53:12	0:14:14	6.961	99.571	0.03
2015-03-31 20:53:42	0:14:45	6.961	99.571	0.03
2015-03-31 20:54:12	0:15:15	6.961	99.571	0.03
2015-03-31 20:54:42	0:15:44	6.961	99.571	0.03
2015-03-31 20:55:12	0:16:14	6.961	99.571	0.03
2015-03-31 20:55:42	0:16:45	6.961	99.571	0.03
2015-03-31 20:56:12	0:17:15	6.961	99.571	0.03
2015-03-31 20:56:42	0:17:45	6.961	99.571	0.03
2015-03-31 20:57:12	0:18:15	6.961	99.571	0.03
2015-03-31 20:57:42	0:18:44	6.961	99.571	0.03
2015-03-31 20:58:12	0:19:15	6.961	99.571	0.03
2015-03-31 20:58:42	0:19:44	6.961	99.571	0.03
2015-03-31 20:59:12	0:20:15	6.961	99.571	0.03
2015-03-31 20:59:42	0:20:44	6.961	99.571	0.03
2015-03-31 21:00:12	0:21:14	6.961	99.571	0.03
2015-03-31 21:00:42	0:21:44	6.961	99.571	0.03
2015-03-31 21:01:12	0:22:14	6.961	99.571	0.03
2015-03-31 21:01:42	0:22:44	6.961	99.571	0.03
2015-03-31 21:02:12	0:23:14	6.961	99.571	0.03
2015-03-31 21:02:42	0:23:44	6.961	99.571	0.03
2015-03-31 21:03:12	0:24:14	6.961	99.571	0.03
2015-03-31 21:03:42	0:24:44	6.961	99.571	0.03
2015-03-31 21:04:12	0:25:15	6.961	99.571	0.03
2015-03-31 21:04:42	0:25:45	6.961	99.571	0.03
2015-03-31 21:05:12	0:26:15	6.961	99.571	0.03
2015-03-31 21:05:42	0:26:45	6.961	99.571	0.03
2015-03-31 21:06:12	0:27:14	6.961	99.571	0.03
2015-03-31 21:06:42	0:27:45	6.961	99.571	0.03
2015-03-31 21:07:12	0:28:14	6.961	99.571	0.03
2015-03-31 21:07:42	0:28:44	6.981	99.711	0.04
2015-03-31 21:08:12	0:29:14	6.981	99.711	0.04
2015-03-31 21:08:42	0:29:44	6.981	99.711	0.04
2015-03-31 21:09:12	0:30:14	6.981	99.711	0.04
2015-03-31 21:09:42	0:30:45	6.981	99.711	0.04
2015-03-31 21:10:12	0:31:14	6.981	99.711	0.04
2015-03-31 21:10:42	0:31:44	6.981	99.711	0.04
2015-03-31 21:11:12	0:32:14	6.981	99.711	0.04
2015-03-31 21:11:42	0:32:44	6.981	99.711	0.04
2015-03-31 21:12:12	0:33:15	6.981	99.711	0.04
2015-03-31 21:12:42	0:33:45	6.981	99.711	0.04
2015-03-31 21:13:12	0:34:14	6.981	99.711	0.04
2015-03-31 21:13:42	0:34:45	6.981	99.711	0.04
2015-03-31 21:14:12	0:35:14	6.981	99.711	0.04
