Timestamp	Inoculation Time []	pH8.PV [pH]	DO8.PV [%DO]	XCO2 8.Out [%]
2015-03-31 20:39:19	0:00:21	6.963	97.348	0.04
2015-03-31 20:39:49	0:00:51	6.963	97.348	0.04
2015-03-31 20:40:19	0:01:21	6.963	97.348	0.04
2015-03-31 20:40:49	0:01:51	6.963	97.289	0.04
2015-03-31 20:41:19	0:02:21	6.963	97.289	0.04
2015-03-31 20:41:49	0:02:51	6.963	97.289	0.04
2015-03-31 20:42:19	0:03:21	6.963	97.289	0.04
2015-03-31 20:42:49	0:03:51	6.963	97.289	0.04
2015-03-31 20:43:19	0:04:21	6.963	96.478	0.04
2015-03-31 20:43:49	0:04:51	6.963	96.478	0.04
2015-03-31 20:44:19	0:05:21	6.963	96.478	0.04
2015-03-31 20:44:49	0:05:51	6.963	96.478	0.04
2015-03-31 20:45:19	0:06:21	6.963	96.478	0.04
2015-03-31 20:45:49	0:06:51	6.963	96.478	0.04
2015-03-31 20:46:19	0:07:21	6.963	96.637	0.04
2015-03-31 20:46:49	0:07:51	6.963	97.156	0.04
2015-03-31 20:47:19	0:08:21	6.963	97.156	0.04
2015-03-31 20:47:49	0:08:51	6.963	97.156	0.04
2015-03-31 20:48:19	0:09:21	6.963	97.156	0.04
2015-03-31 20:48:49	0:09:51	6.963	97.156	0.04
2015-03-31 20:49:19	0:10:21	6.963	97.384	0.04
2015-03-31 20:49:49	0:10:51	6.963	96.890	0.04
2015-03-31 20:50:19	0:11:21	6.963	96.890	0.04
2015-03-31 20:50:49	0:11:51	6.963	96.890	0.04
2015-03-31 20:51:19	0:12:21	6.963	96.890	0.04
2015-03-31 20:51:49	0:12:51	6.963	96.890	0.04
2015-03-31 20:52:19	0:13:21	6.963	96.890	0.04
2015-03-31 20:52:49	0:13:51	6.963	96.890	0.04
2015-03-31 20:53:19	0:14:21	6.963	96.890	0.04
2015-03-31 20:53:49	0:14:51	6.963	96.890	0.04
2015-03-31 20:54:19	0:15:21	6.963	96.890	0.04
2015-03-31 20:54:49	0:15:51	6.963	96.890	0.04
2015-03-31 20:55:19	0:16:21	6.963	96.890	0.04
2015-03-31 20:55:49	0:16:51	6.963	96.890	0.04
2015-03-31 20:56:19	0:17:21	6.963	96.890	0.04
2015-03-31 20:56:49	0:17:51	6.963	96.890	0.04
2015-03-31 20:57:19	0:18:21	6.963	96.890	0.04
2015-03-31 20:57:49	0:18:51	6.963	96.890	0.04
2015-03-31 20:58:19	0:19:21	6.963	96.890	0.04
2015-03-31 20:58:49	0:19:51	6.963	96.890	0.04
