y	x	Attenuance at 600 nm
A	1	0.923044
A	2	1.2314
A	3	0.711959
A	4	0.988222
A	5	1.24088
A	6	1.21412
A	7	1.20839
A	8	1.24285
A	9	1.22258
A	10	0.84681
A	11	1.21558
A	12	1.21231
B	1	1.24414
B	2	1.03379
B	3	1.17208
B	4	0.94201
B	5	0.965023
B	6	1.00569
B	7	0.740233
B	8	1.08649
B	9	1.07437
B	10	0.62235
B	11	0.636164
B	12	0.950109
C	1	0.611843
C	2	0.599801
C	3	1.21062
C	4	0.417254
C	5	0.428769
C	6	1.0606
C	7	0.349739
C	8	0.942017
C	9	0.844437
C	10	1.1384
C	11	1.12331
C	12	1.12671
D	1	1.02878
D	2	0.656786
D	3	0.663959
D	4	1.10555
D	5	0.448865
D	6	0.834848
D	7	0.5359
D	8	1.07316
D	9	1.08687
D	10	1.10748
D	11	1.12777
D	12	0.852315
E	1	1.22639
E	2	0.400892
E	3	0.595082
E	4	0.928151
E	5	0.671019
E	6	0.910636
E	7	1.10528
E	8	0.971164
E	9	0.583757
E	10	0.128015
E	11	0.391982
E	12	0.131656
F	1	0.128793
F	2	0.351178
F	3	0.339595
F	4	0.139364
F	5	0.852498
F	6	0.707976
F	7	0.676029
F	8	0.128057
F	9	0.127105
F	10	0.125667
F	11	0.135285
F	12	0.174729
G	1	0.138251
G	2	0.142211
G	3	0.164402
G	4	0.13885
G	5	0.872819
G	6	0.611731
G	7	0.614634
G	8	0.318897
G	9	0.531366
G	10	0.358556
G	11	0.842938
G	12	0.138522
H	1	0.334416
H	2	0.133842
H	3	0.140003
H	4	0.789189
H	5	1.02842
H	6	0.757408
H	7	0.900021
H	8	0.608547
H	9	0.12781
H	10	0.742129
H	11	0.135425
H	12	0.288167
