y	x	Attenuance at 600 nm
A	1	0.779597
A	2	0.45058
A	3	0.370484
A	4	0.300447
A	5	0.353715
A	6	0.449594
A	7	0.3377
A	8	0.370046
A	9	0.616691
A	10	0.375031
A	11	0.427445
A	12	0.427534
B	1	1.00119
B	2	0.79831
B	3	0.807728
B	4	0.452698
B	5	0.442041
B	6	0.552304
B	7	0.584178
B	8	0.868628
B	9	0.60909
B	10	1.01416
B	11	0.512259
B	12	0.660528
C	1	0.717629
C	2	0.884452
C	3	1.16081
C	4	0.813
C	5	0.890736
C	6	0.399643
C	7	0.385884
C	8	1.36102
C	9	0.530813
C	10	0.553779
C	11	0.522874
C	12	0.364446
D	1	0.337885
D	2	0.329287
D	3	0.33329
D	4	0.520856
D	5	0.0382163
D	6	0.0394465
D	7	0.0407932
D	8	0.0388142
D	9	0.0409779
D	10	0.0387748
D	11	0.0398935
D	12	0.0413962
E	1	0.0402082
E	2	0.0405678
E	3	0.040812
E	4	0.0411854
E	5	0.0405511
E	6	0.0402353
E	7	0.0406227
E	8	0.0403932
E	9	0.0399724
E	10	0.0409989
E	11	0.0405031
E	12	0.0401672
F	1	0.0401743
F	2	0.0403946
F	3	0.04145
F	4	0.040998
F	5	0.0406229
F	6	0.0401213
F	7	0.0399869
F	8	0.0406339
F	9	0.0403812
F	10	0.0399402
F	11	0.0400902
F	12	0.0401333
G	1	0.0428321
G	2	0.0410199
G	3	0.0400128
G	4	0.0402245
G	5	0.0404609
G	6	0.0422827
G	7	0.0406772
G	8	0.0405266
G	9	0.0401147
G	10	0.0416476
G	11	0.0404497
G	12	0.0400494
H	1	0.0398259
H	2	0.0403957
H	3	0.0395645
H	4	0.04076
H	5	0.0408889
H	6	0.0407478
H	7	0.040256
H	8	0.0408849
H	9	0.0409628
H	10	0.0406442
H	11	0.0402425
H	12	0.0404147
