Type	Model	Manufacturer or vendor	Serial Number	Comments	Needed for contents in final version?
HPLC post-column splitter	Acurate	Thermo Fisher Scientific Inc., Waltham, MA, USA	4518	Splitter for Ludwig-Chantalle; Part number: 162127; „Acurate“ is a trademark	y
HPLC refractive index detector	RI-101	Showa Denko K.K., Kawasaki, Japan	128990	Module for Monique	y
HPLC system	UltiMate 3000 RS	Thermo Fisher Scientific Inc., Waltham, MA, USA	-	commonly called \enquote{Ludwig}	y
HPLC system	UltiMate 3000 RS	Thermo Fisher Scientific Inc., Waltham, MA, USA	-	commonly called \enquote{Monique}	y
HPLC system	UltiMate 3000 RS	Thermo Fisher Scientific Inc., Waltham, MA, USA	-	commonly called \enquote{Rudi}	y
Incubation hood for TiMiX 5 Control	TH15	Edmund Bühler GmbH, Hechingen	?	S/N n. e.	y
Incubator	BK 6160	Thermo Fisher Scientific Inc., Waltham, MA, USA	40970988	1.C01.2	y
Incubator	Function Line B12	Thermo Fisher Scientific Inc., Waltham, MA, USA	40962492	1.C01.2	y
Lyophilizer	Alpha 2-4 LDplus	Martin Christ Gefriertrocknungsanlagen GmbH, Osterode am Harz	15221		y
Magnetic stirrer	MR 3001 K	Heidolph Instruments GmbH \& Co. KG, Schwabach	080152304	1.B07 (pH-Platz)	y
Magnetic stirrer	M2	Ingenieurbüro CAT, M. Zipperer GmbH, Staufen	100994	10-l-Fermenter	y
Magnetic stirrer	Telesystem 15	Thermo Fisher Scientific Inc., Waltham, MA, USA	CN09270	untertauchbar (SK1, 195)	y
Magnetic stirrer	VMS-C7	VWR International bvba/sprl, Leuven, Belgium	07.147494		y
Mass spectrometer	HCT	Bruker Daltonik GmbH, Bremen	US93002002	commonly called \enquote{Chantalle}	y
Membrane pump	SartoJet	Sartorius Stedim Biotech GmbH, Göttingen	12A3-0541	Pump for cross-flow system; Article number: 17521---110	y
Micro balance	MSE3.6P-000DM	Sartorius Lab Instruments GmbH \& Co. KG, Göttingen	28201361		y
Microscope	AxioCam Erc 5s	Carl Zeiss Microscopy GmbH, Jena	?		y
Microscope	BA310	Motic Deutschland GmbH, Wetzlar	1220000010		y
Motor	RZR 2051control	Heidolph Instruments GmbH \& Co. KG, Schwabach	101101840		y
Oxygen sensor	BCP-O2	BlueSens gas sensor GmbH, Herten	-		y
p\ce{O2} probe	VisiFerm DO 225	Hamilton Bonaduz AG, Bonaduz, Switzerland	?	Article number: 242452-02; S/N nicht mehr nachvollziehbar	y
PCR cycler	MJ Mini	Bio-Rad Laboratories GmbH, Munich	MM008659	1.B06	y
PCR cycler	MJ Mini	Bio-Rad Laboratories GmbH, Munich	MM008648	1.B06	y
PCR cycler	labcycler Gradient	SensoQuest Biomedizinische Elektronik GmbH, Göttingen	1123240128	Spezialanfertigung für Lehrstuhl	y
pH electrode	InLab Expert Pro pH 0-14, 0-100 °C	Mettler-Toledo GmbH, Gießen	?	S/N nicht mehr nachvollziehbar	y
pH electrode	InLab Micro Pro pH 0-14, 0-100 °C	Mettler-Toledo GmbH, Gießen	?	S/N nicht mehr nachvollziehbar	y
pH meter	FE20	Mettler-Toledo GmbH, Gießen	1230255420	FiveEasy	y
pH meter	FG2	Mettler-Toledo GmbH, Gießen	1229375316	FiveGo	y
pH probe	405-DPAS-SC-K8S	Mettler-Toledo GmbH, Gießen	225	Fermenter; Article number: 10 405 4481; not sure about serial number	y
Photometer	P330	Implen GmbH, München	5692		y
Pipette (\SI{10}{\micro\litre})	Transferpette S	BRAND GmbH + Co. KG, Wertheim	03H93015	CBR ID: 17-1	y
Pipette (\SI{100}{\micro\litre})	Transferpette S	BRAND GmbH + Co. KG, Wertheim	03H84766	CBR ID: 17-2	y
Pipette (\SI{1000}{\micro\litre})	Transferpette S	BRAND GmbH + Co. KG, Wertheim	03H91005	CBR ID: 17-3	y
Pipette (\SI{10000}{\micro\litre})	Transferpette S	BRAND GmbH + Co. KG, Wertheim	09H73397		y
Pipette (\SI{5000}{\micro\litre})	Transferpette S	BRAND GmbH + Co. KG, Wertheim	10F92953		y
Pipette (12 x \SI{200}{\micro\litre})	Transferpette S-12	BRAND GmbH + Co. KG, Wertheim	02G46329		y
Pipette (12 x \SI{300}{\micro\litre})	Research pro	Eppendorf AG, Hamburg	3715438		y
Pipette (8 x \SI{100}{\micro\litre})	Transferpette S-8	BRAND GmbH + Co. KG, Wertheim	02G43885		y
Pipette (8 x \SI{1200}{\micro\litre})	Research pro	Eppendorf AG, Hamburg	2766139		y
Pipette (8 x \SI{200}{\micro\litre})	Transferpette S-8 electronic	BRAND GmbH + Co. KG, Wertheim	05E73938		y
Pipette (8 x \SI{200}{\micro\litre})	Transferpette S-8 electronic	BRAND GmbH + Co. KG, Wertheim	06F37468		y
Pipette (8 x \SI{50}{\micro\litre})	Transferpette S-8	BRAND GmbH + Co. KG, Wertheim	03H99855		y
Power supply	PowerPac Basic	Bio-Rad Laboratories GmbH, Munich	041BR67855	Article number: 1645050	y
Power supply	PowerPac HC	Bio-Rad Laboratories GmbH, Munich	043BR31923	Article number: 1645050	y
Pressure gauge (analogue)	DN10	Sartorius AG, Göttingen	-	Article number: 17521---033	y
Pressure gauge (digital)	PF2954	ifm electronic, Essen	-		y
Quartz cuvette	104.002-QS	Hellma GmbH \& Co. KG, Müllheim	-		y
Refrigerator	KT 1440	Liebherr Hausgeräte, Ochsenhausen	?	S/N n. e.	y
Replicator	96 pins	Boekel Scientific, Feasterville, PA, USA	140500		y
Rheometer	MCR 300	Anton Paar GmbH, Graz, Austria	609487		y
Rocking platform	single tier	VWR International bvba/sprl, Leuven, Belgium	09020653	Article number: 444-0142	y
SEC-MALLS autosampler	1260 Infinity Standard Autosampler	Agilent Technologies, Waldbronn	DEAAC15326		y
SEC-MALLS column oven	SECcurity TCC6000 column compartment	PSS Polymer Standards Service GmbH, Mainz	220826		y
SEC-MALLS degasser	SECcurity vacuum degasser	PSS Polymer Standards Service GmbH, Mainz	0001-6622	? 2 channel degasser: 409-0024	y
