	1	2	3	4	5	6	7	8	9	10	11	12
A	EPS1.B6	EPS1.B7	EPS1.B8	EPS1.B9	EPS1.B10	EPS1.B11	EPS1.C3	EPS1.C4	EPS1.C11	EPS1.D6	EPS1.F4	EPS1.F10
B	EPS1.G11	EPS1.H8	EPS1.H10	EPS2.F2	EPS2.F12	EPS2.G6	EPS1.A3	EPS1.A4	EPS1.B2	EPS1.B12	EPS1.C10	EPS1.D1
C	EPS1.D4	EPS2.D1	EPS2.D2	EPS2.D6	EPS2.D7	EPS2.E9	EPS2.E10	EPS2.E11	EPS2.E12	EPS2.G2	EPS2.G3	EPS2.G4
D	EPS2.G5	EPS2.H4	EPS1.F8	EPS1.F11	EPS1.F12	EPS1.G10	EPS2.A9	EPS2.C1	EPS2.C2	EPS2.C3	EPS2.C4	EPS2.C5
E	EPS2.C6	EPS2.C7	EPS2.C9	EPS2.E2	EPS2.E3	EPS2.E4	EPS2.E5	EPS1.D12	EPS2.A4	EPS1.F7	EPS2.A8	
F	EPS1.G3	EPS1.G4	EPS1.G7	EPS1.G8	EPS1.H7	EPS2.B5	EPS2.B6	EPS2.F5	EPS2.H2	EPS1.A2	EPS1.A5	EPS1.A6
G	EPS1.A8	EPS1.A9	EPS1.A10	EPS1.A12	EPS1.B3	EPS1.C6	EPS1.C9	EPS1.C12	EPS1.D9	EPS1.D10	EPS1.G6	EPS1.H2
H	EPS2.A6	EPS2.C12	EPS2.D4	EPS1.H5	EPS1.H6	EPS1.H9	EPS2.D3	EPS1.E4	EPS1.E10	EPS2.A11	EPS2.B3	EPS2.H1
