Stamm	Man	Nig	GlcUA	Lam	GlcN	GalUA	Rib	Rha	Ism	Gen	Koj	GalN	GlcNAc	Mal	Lac	Cel	Sop	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2-d-Glc	2-d-Rib	Summe	Summe ohne Xylose
Xyl1.F2	3.76	n	0.00	n	3.80	0.00	0.00	1.64	n	0.00	n	0.00	0.00	n	0.00	n	n	2.29	0.00	2.75	n	1.65	0.00	0.00	0.00	15.89	14.24
Xyl1.F3	3.53	n	0.00	n	2.80	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	2.33	0.00	2.14	n	1.70	0.00	0.00	0.00	12.51	10.81
Xyl1.F4	5.03	n	0.00	n	3.36	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	2.85	0.00	2.52	n	6.59	0.00	0.00	0.00	20.36	13.77
Xyl1.F5	5.71	n	4.62	n	3.00	0.00	0.00	0.00	j	0.00	n	0.00	0.00	n	0.00	n	n	17.08	0.00	6.49	n	8.64	0.00	0.00	0.00	45.53	36.89
Xyl1.F6	2.60	n	0.00	n	2.70	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	3.88	0.00	1.50	n	14.53	0.00	0.00	0.00	25.21	10.68
Xyl1.F7	2.49	n	0.00	n	2.62	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	5.30	0.00	2.12	n	14.06	0.00	0.00	0.00	26.59	12.53
Xyl1.F8	11.42	n	0.00	n	2.30	10.12	0.00	2.05	n	0.00	n	0.00	0.00	n	0.00	n	n	5.11	0.00	6.66	n	5.45	0.00	0.00	0.00	43.10	37.65
Xyl1.F9	4.10	j	0.00	n	2.60	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	5.38	0.00	4.80	n	1.79	0.00	0.00	0.00	18.67	16.88
Xyl1.F10	2.93	n	0.00	n	0.00	0.00	1.26	1.93	n	0.00	n	0.00	0.00	n	0.00	n	n	7.68	0.00	5.60	n	1.66	0.00	0.00	0.00	21.06	19.40
Xyl1.F11	12.07	n	0.00	n	0.00	10.44	1.33	2.22	n	0.00	n	0.00	0.00	n	0.00	n	n	8.80	0.00	6.01	n	1.63	0.00	0.00	0.00	42.51	40.87
