Plate	Position (x)	Position (y)	Absorption (dimensionless) at 418 nm	Absorption (dimensionless) at 480 nm	Absorption difference	Calculated glucose in mg/l	Dilution factor	Glucose concentration in mg/l (undiluted)
IS1r2pmp	8	F	0.0584	0.0425	0.0159	-0.246098283	100	0
IS1r2pmp	9	F	0.0471	0.0423	0.0048	-0.6510884552	100	0
IS1r2pmp	10	F	0.0508	0.0417	0.0091	-0.4948347399	100	0
IS1r2pmp	11	F	0.0526	0.0426	0.0100	-0.4613210556	100	0
IS1r2pmp	12	F	0.0469	0.0414	0.0055	-0.6258531508	100	0
IS1r2pmp	1	G	1.0541	0.1032	0.9509	33.9316175082	100	3393
IS1r2pmp	2	G	2.5655	0.1938	2.3716	85.8646171667	100	8586
IS1r2pmp	3	G	0.8516	0.0927	0.7589	26.913908425	100	2691
IS1r2pmp	4	G	3.0141	0.2264	2.7877	101.0741793613	100	10107
IS1r2pmp	5	G	1.3220	0.1184	1.2036	43.1682870226	100	4317
IS1r2pmp	6	G	1.2161	0.1120	1.1041	39.5331404885	100	3953
IS1r2pmp	7	G	2.7826	0.2063	2.5763	93.3456257438	100	9335
IS1r2pmp	8	G	3.0176	0.2252	2.7924	101.2454569717	100	10125
IS1r2pmp	9	G	0.4098	0.0687	0.3410	11.6390225565	100	1164
IS1r2pmp	10	G	0.0461	0.0413	0.0048	-0.6516658551	100	0
IS1r2pmp	11	G	0.3971	0.0660	0.3311	11.2740351835	100	1127
IS1r2pmp	12	G	2.2780	0.1797	2.0982	75.8706172345	100	7587
IS1r2pmp	1	H	0.0522	0.0490	0.0032	-0.709925719	100	0
IS1r2pmp	2	H	0.0528	0.0487	0.0041	-0.6773204574	100	0
IS1r2pmp	3	H	0.0532	0.0496	0.0036	-0.6963374802	100	0
IS1r2pmp	4	H	0.0527	0.0490	0.0037	-0.6938782456	100	0
IS1r2pmp	5	H	0.0528	0.0488	0.0040	-0.6818510317	100	0
IS1r2pmp	6	H	0.0515	0.0480	0.0036	-0.6972817746	100	0
IS1r2pmp	7	H	0.0526	0.0492	0.0033	-0.7059105413	100	0
IS1r2pmp	8	H	0.0521	0.0485	0.0036	-0.6943788052	100	0
IS1r2pmp	9	H	0.0524	0.0489	0.0035	-0.6978128899	100	0
IS1r2pmp	10	H	0.0516	0.0475	0.0041	-0.6773609093	100	0
IS1r2pmp	11	H	0.0562	0.0427	0.0135	-0.3328405644	100	0
IS1r2pmp	12	H	2.8776	0.2149	2.6626	96.5030767578	100	9650
IS1r2rez	1	A	0.0540	0.0452	0.0088	-0.5051240919	100	0
IS1r2rez	2	A	0.0554	0.0425	0.0129	-0.3558231239	100	0
IS1r2rez	3	A	0.0550	0.0412	0.0138	-0.323975323	100	0
IS1r2rez	4	A	1.1841	0.1221	1.0620	37.9936490606	100	3799
IS1r2rez	5	A	0.0489	0.0409	0.0080	-0.5355553417	100	0
IS1r2rez	6	A	2.2394	0.1740	2.0654	74.6722286745	100	7467
IS1r2rez	7	A	0.0645	0.0504	0.0142	-0.3096702625	100	0
IS1r2rez	8	A	1.0574	0.1051	0.9523	33.9844194749	100	3398
IS1r2rez	9	A	1.9320	0.1551	1.7769	64.1247748096	100	6412
IS1r2rez	10	A	1.4044	0.1231	1.2813	46.0077120865	100	4601
IS1r2rez	11	A	0.0522	0.0413	0.0108	-0.43108461	100	0
IS1r2rez	12	A	0.0606	0.0459	0.0147	-0.288640336	100	0
IS1r2rez	1	B	0.0572	0.0458	0.0115	-0.4071615981	100	0
IS1r2rez	2	B	0.0548	0.0429	0.0119	-0.3925504632	100	0
