y	x	Attenuance at 600 nm
A	1	0.393214
A	2	0.273914
A	3	0.408799
A	4	1.4029
A	5	0.440595
A	6	0.559436
A	7	0.523944
A	8	0.371407
A	9	0.600746
A	10	0.413151
A	11	0.686377
A	12	0.744068
B	1	0.476352
B	2	0.734359
B	3	0.346756
B	4	0.311438
B	5	0.870284
B	6	0.619746
B	7	1.07682
B	8	1.1215
B	9	0.561288
B	10	0.87992
B	11	0.91319
B	12	0.595167
C	1	0.0553983
C	2	1.16738
C	3	1.09906
C	4	0.80492
C	5	0.651227
C	6	0.270658
C	7	0.260231
C	8	0.499514
C	9	0.552292
C	10	0.987487
C	11	0.544362
C	12	0.263796
D	1	0.311457
D	2	0.267738
D	3	0.364911
D	4	0.458695
D	5	0.0482406
D	6	0.0503291
D	7	0.0788191
D	8	0.0978549
D	9	0.417117
D	10	0.125367
D	11	0.156506
D	12	0.0422558
E	1	0.34914
E	2	0.349446
E	3	0.511549
E	4	0.884575
E	5	0.439038
E	6	0.528458
E	7	0.457658
E	8	0.482425
E	9	0.572411
E	10	0.506696
E	11	1.05054
E	12	0.804665
F	1	0.476351
F	2	0.870821
F	3	0.436049
F	4	0.38465
F	5	0.929143
F	6	0.703634
F	7	1.0456
F	8	0.8188
F	9	0.619983
F	10	0.889493
F	11	1.01645
F	12	0.83194
G	1	0.0485684
G	2	1.24354
G	3	1.17956
G	4	0.716014
G	5	0.700758
G	6	0.452923
G	7	0.561337
G	8	0.593586
G	9	0.553397
G	10	1.04215
G	11	0.567265
G	12	0.288119
H	1	0.611995
H	2	0.308159
H	3	0.357036
H	4	0.651101
H	5	0.0528494
H	6	0.0532319
H	7	0.069594
H	8	0.0585072
H	9	0.060437
H	10	0.0645294
H	11	0.0603325
H	12	0.0444252
