y	x	Attenuance at 600 nm
A	1	0.435572
A	2	0.427375
A	3	0.437105
A	4	0.983946
A	5	0.488846
A	6	0.588152
A	7	0.386033
A	8	0.454487
A	9	0.621512
A	10	0.44172
A	11	0.447482
A	12	0.572942
B	1	0.497286
B	2	0.752497
B	3	0.420517
B	4	0.522345
B	5	0.377859
B	6	0.660799
B	7	1.04518
B	8	1.00694
B	9	0.627994
B	10	1.10231
B	11	0.941844
B	12	0.747473
C	1	0.0579147
C	2	1.04236
C	3	1.14441
C	4	0.811275
C	5	0.938059
C	6	0.604372
C	7	0.649802
C	8	0.494797
C	9	0.555654
C	10	0.971264
C	11	0.579339
C	12	0.636799
D	1	0.549651
D	2	0.633954
D	3	0.462252
D	4	0.623102
D	5	0.0485933
D	6	0.0452251
D	7	0.0526795
D	8	0.0533237
D	9	0.0614307
D	10	0.0754388
D	11	0.0845552
D	12	0.0435821
E	1	0.341279
E	2	0.422121
E	3	0.427835
E	4	1.20834
E	5	0.522823
E	6	0.638386
E	7	0.511547
E	8	0.508317
E	9	0.709365
E	10	0.401768
E	11	0.560672
E	12	0.918147
F	1	0.528115
F	2	0.84989
F	3	0.222694
F	4	0.246763
F	5	0.248691
F	6	0.666063
F	7	0.901049
F	8	1.00957
F	9	0.538181
F	10	0.927771
F	11	0.869282
F	12	0.801974
G	1	0.0445647
G	2	1.23196
G	3	1.13479
G	4	0.931322
G	5	0.852735
G	6	0.0397081
G	7	0.15518
G	8	0.586752
G	9	0.572131
G	10	0.978276
G	11	0.591468
G	12	0.224583
H	1	0.219902
H	2	0.232006
H	3	0.338183
H	4	0.550957
H	5	0.0560933
H	6	0.0470787
H	7	0.061653
H	8	0.0602451
H	9	0.0526199
H	10	0.0543034
H	11	0.0500748
H	12	0.0458077
