y	x	Attenuance at 600 nm
A	1	0.335156
A	2	0.0524866
A	3	0.0581061
A	4	0.319924
A	5	0.359723
A	6	0.376992
A	7	0.0570323
A	8	0.0531894
A	9	0.0656676
A	10	0.204899
A	11	0.0490728
A	12	0.0525567
B	1	0.0491145
B	2	0.0537322
B	3	0.0502358
B	4	0.0502212
B	5	0.0507681
B	6	0.0632907
B	7	0.06075
B	8	0.0536466
B	9	0.0532745
B	10	0.0656636
B	11	0.251939
B	12	0.608867
C	1	0.0579389
C	2	0.0648739
C	3	0.0664293
C	4	0.0874472
C	5	0.0902368
C	6	0.0494927
C	7	0.324459
C	8	0.580102
C	9	0.341488
C	10	0.052527
C	11	0.338324
C	12	0.266709
D	1	0.339567
D	2	0.268281
D	3	0.335988
D	4	0.0630759
D	5	0.0477979
D	6	0.0480823
D	7	0.050596
D	8	0.0493521
D	9	0.0499004
D	10	0.0491603
D	11	0.051056
D	12	0.0495695
E	1	0.26769
E	2	0.0500073
E	3	0.0570859
E	4	0.0462135
E	5	0.0466104
E	6	0.505954
E	7	0.0492619
E	8	0.0468737
E	9	0.453633
E	10	0.0464485
E	11	0.0452367
E	12	0.0490918
F	1	0.0432255
F	2	0.0526288
F	3	0.0521706
F	4	0.0559977
F	5	0.0551205
F	6	0.0463699
F	7	0.509738
F	8	0.0596494
F	9	0.0717876
F	10	0.054049
F	11	0.0818465
F	12	0.299968
G	1	0.0471284
G	2	0.0825912
G	3	0.0835033
G	4	0.1769
G	5	0.105816
G	6	0.0492183
G	7	0.209407
G	8	0.0521932
G	9	0.397459
G	10	0.541852
G	11	0.391318
G	12	0.0525882
H	1	0.274384
H	2	0.0488526
H	3	0.268883
H	4	0.0434573
H	5	0.0768215
H	6	0.0803422
H	7	0.0795335
H	8	0.0886599
H	9	0.077385
H	10	0.0824835
H	11	0.079272
H	12	0.0798864
