y	x	Attenuance at 600 nm
A	1	0.299804
A	2	0.567396
A	3	0.40914
A	4	0.455087
A	5	0.408677
A	6	0.618515
A	7	0.412189
A	8	0.480959
A	9	0.556514
A	10	0.396869
A	11	0.486553
A	12	0.591399
B	1	0.253146
B	2	0.544007
B	3	0.0585305
B	4	0.0615566
B	5	0.0546865
B	6	0.221884
B	7	0.937912
B	8	0.906769
B	9	0.0763004
B	10	0.536499
B	11	0.79653
B	12	0.53266
C	1	0.0474663
C	2	0.834313
C	3	0.735532
C	4	0.811248
C	5	0.744474
C	6	0.073295
C	7	0.485502
C	8	0.515777
C	9	0.41148
C	10	0.0802971
C	11	0.424615
C	12	0.274069
D	1	0.280774
D	2	0.277813
D	3	0.294672
D	4	0.301206
D	5	0.0491771
D	6	0.049773
D	7	0.0581033
D	8	0.0468222
D	9	0.0557823
D	10	0.0601053
D	11	0.0602624
D	12	0.0455837
E	1	0.292659
E	2	0.104566
E	3	0.0659073
E	4	0.229875
E	5	0.0507757
E	6	0.592097
E	7	0.0701783
E	8	0.0548115
E	9	0.400555
E	10	0.049244
E	11	0.334115
E	12	0.115098
F	1	0.0528494
F	2	0.146549
F	3	0.0451846
F	4	0.0534673
F	5	0.0460474
F	6	0.139132
F	7	0.867847
F	8	0.781758
F	9	0.0471961
F	10	0.353558
F	11	0.394619
F	12	0.34673
G	1	0.044115
G	2	0.939609
G	3	0.857841
G	4	0.819039
G	5	0.927925
G	6	0.0414118
G	7	0.26187
G	8	0.458932
G	9	0.392451
G	10	0.51146
G	11	0.416158
G	12	0.289307
H	1	0.285045
H	2	0.283532
H	3	0.288747
H	4	0.0554051
H	5	0.0482112
H	6	0.0405549
H	7	0.0428955
H	8	0.0518562
H	9	0.0411519
H	10	0.0412144
H	11	0.0431664
H	12	0.0424354
